,nickname,text,score,like,dislike,time,watch_movie
272,꿍야(love****),기대하고봤는데 기대를 훨씬 뛰어넘음,10,11,2,2017-06-01 02:26:00,0
273,cumanio(jiho****),알바들이 올린건줄 알고 안보려다 시간 딱 맞아서 봤는데 디씨 영화중에 가장 잘만들었다 영화평점은 8.7점 정도 주고 싶은데 드디어 정신차린거 같아서 기특해서 10점 준다 제발 앞으로 잘만들어서 좋은 히어로 영화만들어...,10,11,2,2017-06-01 02:10:00,0
274,미네온(hele****),여자를 따르고 싶은마음이 생기는 ... 진정한 히어로 영화!! DC성곡작!!,10,11,2,2017-06-01 01:05:00,0
275,ysk3****,완전 꿀  잼이네요..여성 히어로 대박~^^,10,11,2,2017-06-01 00:38:00,관람객
276,스텔라(ro52****),미국평론가극찬흥행대박,10,11,2,2017-05-31 14:31:00,0
277,kyon****,배우들 하나 하나 너무 멋짐ㅋㅋㅋ 그래도 원더우먼이 짱이였으,10,11,2,2017-05-31 13:58:00,0
278,하않갉(ungc****),여지껏 나온 DC 영화 중에서는 제일 나은 거 같다. 액션도 나름 괜찮다.,9,11,2,2017-05-31 11:44:00,0
279,수중전(khk1****),ㄴㅈ 기대하지말고볼것,1,12,3,2017-06-15 12:01:00,관람객
280,Flying Ace(baji****),재밌다! 아레스는 확실히 좀 아쉬워서 재미없다고 하는 사람들도 이해는 되지만 난 굉장히 재밌게 봤다,9,12,3,2017-06-04 23:25:00,관람객
281,슬기둥기(tmfr****),원더우먼..밤에 볼거없어서 급하게 예매하고 본건데 진짜 기대이상...개대존잼ㅜㅠ진짜 보는동안 소름돋고 남자 히어로들보다 개존멋 걸크러쉬..여운오래남음 또볼거야 쓰리디로또볼까,10,12,3,2017-06-01 02:10:00,0
282,치기(jj34****),멋진 언니가 시원하게 부수는 영화...쓸데없는 부분이 없어서 좋았어요ㅜㅜㅜ언니!!!멋져요!!!TvT,10,12,3,2017-06-01 01:25:00,0
283,늑도르(mymi****),하도 디씨유니버스가 죽을쒀서 평타만쳐도 후한점수 줄랫는데 이건뭐 기대한 이상은 되네. 신여성의 발로를 경험할 수 있을것임.,10,12,3,2017-06-01 01:16:00,0
284,momi****,뭐죠?ㅋㅋ 디씨 왜갑자기 사람 감동시키고 그래..,10,12,3,2017-05-31 21:15:00,0
285,원종철(dnjs****),재밌어요~.원더우먼 이뻐요.,8,12,3,2017-05-31 16:19:00,0
286,이용택(dldy****),"평점 낮게 준애들 아이디 누르고 과거 평점 목로 보면 두부류로 나뉜다 ㅋㅋ 말투 초딩에 점수 기준 없이 막 주는애들, 아니면 아이디 새로 만들어서 '원더우먼'에만 평점 준 기록 밖에 없는애들  ㅋㅋ 레...",10,12,3,2017-05-31 15:47:00,0
287,으음(quai****),이제야 DC 다운 영화가 나오네. 앞으로도 계속 이렇게만 해주세요!,10,12,3,2017-05-31 14:36:00,0
288,하늘바람(bond****),액션도 멋있고 재밌습니다 .,10,12,3,2017-05-31 14:31:00,0
289,백미선(mi-s****),솔직히 여자 히어로 영화라서 기대 안했는데 시사회 갔다가 반하고 왔다,10,12,3,2017-05-31 14:31:00,0
290,민원(lmw3****),DC 영화 중 베트맨 시리즈 이후 최고의 영화,10,13,4,2017-06-03 01:49:00,관람객
291,dnjs****,캐스팅 진짜 너무 잘햇다,10,13,4,2017-06-01 10:17:00,관람객
292,카페모카(alsr****),"원더우먼의 성공적탄생기, 순수한 눈빛을 잊을 수 없다.",10,13,4,2017-06-01 10:04:00,관람객
293,케빈(kcas****),배댓슈와 수어사이드 스쿼드로 너무나 낮아진 관객의 기준 덕분일까?  맨오브스틸 수준으로 다시 돌아온 것일 뿐 여전히 스토리를 풀어나가는  DC의 능력은 빈약하고 약점 또한 분명하다.,6,13,4,2017-06-01 01:36:00,0
294,미나(1240****),개노잼 영화 왜 이렇게 만들어요???....,1,25,16,2017-06-06 13:57:00,관람객
295,Vallentein(joos****),나쁘지않은 페미니즘 같음 뭔가 옛날식에 진짜 여성들을 위한 페미니즘? 캡마같이 멍청하게 페미 끼워넣고 팔아먹는거랑 다르게 훨씬더 괜찮다고 생각됨,10,8,0,2019-07-28 00:10:00,0
296,oozzap(oozz****),남주 멋있었다 ㅋㅋ 원더우먼도 정의감 사명감 대단한데 개인적으로 남주에 마지막에 남들을위한 희생정신에 감동적이었고 마지막에 원더우먼한테 귓속말로 한말 사랑해 그말 진심 되게좋았음 ㅎㅎㅎ 찡했음 원더우먼보고 감동을느낄...,10,8,0,2017-06-15 23:45:00,관람객
297,아우라지(leec****),나중에 너무 빠른 전개? 갑자기 끝판왕 등장ㅋ~,8,8,0,2017-06-11 19:43:00,관람객
298,rainbow(yeag****),여주인공 너무 매력적이에요,8,8,0,2017-06-04 23:11:00,관람객
299,몽블랑(jhsh****),갑작스런  아레스 빼면 원더폴,9,8,0,2017-06-04 00:30:00,관람객
300,양찬호(yang****),진정한 페미니스트 영화이고 캡틴마블보다 백만배 더 꿀잼인 영화,10,9,1,2019-03-15 21:33:00,0
301,김리나(sylo****),갤 가돗 캐스팅 최고. 완벽한 원더우먼,8,9,1,2017-06-11 13:55:00,관람객
302,칼바이스(vvhy****),그래도 상당히 선방한 DC유니버스 영화,10,9,1,2017-06-07 11:14:00,관람객
303,은해(dmsg****),영화는 진짜 좋았어요..근데 덕천 메가박스 2시 테이블m관 왼쪽 두자리 있는곳에 앞에서 3번째 앉은 아줌마랑 아들..진짜 장애 있는줄 알았네요 애가 자막을 모르면 데려오지를 마세요. 진짜 쳐 죽이고 싶었습니다. 애새...,9,9,1,2017-06-06 16:28:00,관람객
304,신광민(sing****),"섹시,간지 모든요소가 압도적이다.",10,9,1,2017-06-06 10:59:00,관람객
305,싸이퍼(lyhg****),Dc에서 일낸건 팩트고 이뻐요,9,9,1,2017-06-06 00:52:00,관람객
306,rang****,다음 편이 기대되게 만들어준 영화,9,9,1,2017-06-06 00:37:00,관람객
307,MME(mme_****),걸크러쉬 제대로 느낄수있는 영화,8,9,1,2017-06-06 00:06:00,관람객
308,성마이(xenn****),갤가돗 보러들어갔다가크리스가 더 기억나는 영화투는 꼭 치타 나왔으면,10,9,1,2017-06-05 03:48:00,관람객
309,없다이눔아라라(lee5****),무난햇엇고재밋엇서요,10,9,1,2017-06-04 18:02:00,관람객
310,상추(will****),뭐하나 단점이랄게 없는영화 ... 몰입도가 장난아니고 진짜 겔가돗 웬만한 남자히어로들 그냥 발라버리게 멋있다,10,9,1,2017-06-04 16:52:00,관람객
311,김소정(soju****),DC의 소녀가장이네요 ㅋㅋ 같이 본 사람은 유치하다고 하는데 저는 액션신도 멋있었고 정말 재밌었습니다 뒤에 나올 저스티스리가 정말 기대되네요,8,9,1,2017-06-04 16:15:00,관람객
312,TT(seun****),다이애나가 너무 이쁘게 나온다 그리고 액션도 존멋 꼭봐라,10,9,1,2017-06-04 11:26:00,관람객
